displayName,service,filter,description,weightedKeywords,folderName,serviceIcon,serviceOrder,filterIcon,filterOrder
Audit File Access in SPO,SharePoint & OneDrive,Auditing,Audit file access in SharePoint Online using PowerShell to prevent unauthorized access for effective SharePoint Online management.,file access audit:10;who accessed file:9;document access:8;file viewed:7;SharePoint file access:7;unauthorized access:6;OneDrive:4,Audit File Access in SPO,,,,
Audit File Activities in SPO,SharePoint & OneDrive,Auditing,"Audit file activities in SharePoint Online and OneDrive to identify suspicious activities, excessive privileges, and safeguard data.",file activities:10;file operations audit:9;document activity:8;SharePoint file audit:7;OneDrive activity:7;file events:6;suspicious file activity:5,Audit File Activities in SPO,,,,
Audit File Deletion,SharePoint & OneDrive,Auditing,"This PowerShell script helps to audit file deletion in SharePoint and OneDrive for Business. With this report, admins can identify who deleted files in O365.",file deletion audit:10;who deleted file:9;deleted files:9;document deletion:8;SharePoint deletion:7;OneDrive deletion:7;recycle bin:5,Audit File Deletion,,,,
Audit File Downloads in SPO,SharePoint & OneDrive,Auditing,Audit file downloads in SharePoint Online and OneDrive using PowerShell to pinpoint who downloaded what file and when.,file download audit:10;who downloaded:9;file downloads:9;document download:8;data exfiltration:7;SharePoint download:7;OneDrive download:6,Audit File Downloads in SPO,,,,
Audit File Sharing in Microsoft Teams,MS Teams,Auditing,Track file-sharing activity logs in Microsoft Teams to ensure data protection and compliance by auditing shared files across teams.,Teams file sharing:10;shared files audit:9;file sharing activity:8;Teams documents:6;sharing audit:6;data protection:4,Audit File Sharing in Microsoft Teams,m365-icon-teams svg-icon,5,,
Audit Group Membership Changes,Entra,Auditing,Effortlessly audit group membership changes in Microsoft 365 with this PowerShell script. Access granular reports for robust security!,group membership changes:10;added removed members:9;membership audit:8;security group changes:7;who added member:7;group changes:6,Audit Group Membership Changes,m365-icon-azure svg-icon,1,,
Audit M365 Admins Activities,Security & Identity,Auditing,Audit Microsoft 365 admin activity using PowerShell to ensure appropriate use of admin privileges and enhance your Microsoft 365 security.,admin activity audit:10;administrator actions:9;privileged actions:8;admin audit log:7;admin privilege misuse:6,Audit M365 Admins Activities,,,,
Audit M365 User Creations,Entra,Auditing,This PowerShell script helps to find who created a user account in Microsoft 365 with ease. Download the script now and identify the suspicious accounts.,who created user:10;user creation audit:9;new user accounts:8;account creation:8;user provisioning:6;suspicious accounts:5,Audit M365 User Creations,,,,
Audit Mailbox Permission Changes,Exchange Online,Auditing,"This PowerShell script helps to audit mailbox permission changes, such as adding and removing full access, send as & send on behalf permissions in Office 365.",mailbox permission changes:10;delegate permission audit:8;full access changes:8;send as changes:8;send on behalf:7;permission audit:6,Audit Mailbox Permission Changes,,,,
Audit MS Teams Channel Creations,MS Teams,Auditing,Audit Microsoft Teams channel creations using PowerShell to ensure efficient resource management and security in the organization.,channel creation audit:10;who created channel:8;new channel:8;Teams channel audit:8,Audit MS Teams Channel Creations,,,,
Audit MS Teams Membership Changes,MS Teams,Auditing,"This PowerShell script helps admins to audit Teams membership changes, including private and shared channel membership to ensure data security.",Teams membership changes:10;added removed members:8;private channel membership:7;shared channel membership:7;team members audit:7,Audit MS Teams Membership Changes,,,,
Audit Office 365 External Sharing Activity,SharePoint & OneDrive,Auditing,This PowerShell script audits external sharing activities in SharePoint Online & OneDrive and exports external sharing reports to CSV.,external sharing audit:10;guest sharing:8;sharing activity:8;SharePoint sharing audit:7;anonymous sharing:7;OneDrive sharing:6;anyone links:6,Audit Office 365 External Sharing Activity,,,,
Audit Office 365 User Activity Report,Security & Identity,Auditing,"This PowerShell script exports Office 365 user's activity report to a CSV file with Activity Time, User, Operation, Result, Workload and Detailed Audit info.",user activity audit:10;audit log export:8;activity report:8;unified audit log:7;user actions:7;workload audit:5,Audit Office 365 User Activity Report,,,,
Audit PIM Role Activations and Deactivations,Security & Identity,Auditing,Audit PIM role activations and deactivations in Microsoft Entra to maintain control over privileged access and detect unusual admin activity.,PIM:10;privileged identity management:10;role activation:9;PIM audit:9;eligible role:7;just-in-time access:6;JIT:6;privileged access:6,Audit PIM Role Activations and Deactivations,,,,
Audit Recently Created M365 Users,Entra,Auditing,This PowerShell script helps to find who created a user account in Microsoft 365 with ease. Download the script now and identify the suspicious accounts.,recently created users:10;new user accounts:9;who created user:8;account creation audit:7;user provisioning:5,Audit Recently Created M365 Users,,,,
Audit Send As emails,Exchange Online,Reporting,This PowerShell script helps to audit Send As emails and finds who sent email from the delegated mailbox using Send As permission.,send as audit:10;who sent email:8;send as permission:8;delegated mailbox:7;send on behalf:6;impersonation:5,Audit Send As emails,,,,
Audit Shared Mailbox Activities,Exchange Online,Auditing,Learn how to audit shared mailbox activities with PowerShell to streamline mailbox management and enhance security.,shared mailbox audit:10;shared mailbox activity:9;delegate activity:7;mailbox audit:6,Audit Shared Mailbox Activities,,,,
Audit SPO Folder Activities,SharePoint & OneDrive,Auditing,Discover an easy way to track folder activities in SharePoint and OneDrive using a versatile PowerShell script.,folder activities:10;folder audit:9;folder operations:8;SharePoint folder:7;OneDrive folder:6,Audit SPO Folder Activities,,,,
Audit SPO Group Membership Changes,SharePoint & OneDrive,Auditing,This PowerShell script helps admin to audit SharePoint group membership changes and permission changes & export the report to CSV file.,SharePoint group changes:10;site group membership:9;site permission changes:8;group membership audit:7,Audit SPO Group Membership Changes,,,,
Audit Teams meetings,MS Teams,Auditing,This PowerShell script helps to audit Microsoft Teams meetings and their participants list.,Teams meeting audit:10;meeting participants:8;who attended meeting:7;online meetings:7,Audit Teams meetings,,,,
Audit User Account Status Changes,Entra,Auditing,Use this PowerShell script to quickly audit when user accounts are disabled or re-enabled in Microsoft 365.,account status changes:10;disabled account audit:9;enabled disabled users:8;blocked sign-in:7;who disabled account:7,Audit User Account Status Changes,,,,
Audit Who Deleted Emails From Shared Mailboxes,Exchange Online,Auditing,"This PowerShell script helps to audit shared mailbox email deletion and exports key details such as deletion time, users who deleted emails, deletion type, no.of deleted emails, email subjects, folder name, and more.",shared mailbox email deletion:10;who deleted email:9;deleted emails:8;shared mailbox audit:7;deletion type:5,Audit Who Deleted Emails From Shared Mailboxes,,,,
Auto Archive Inactive Teams in MS Teams,MS Teams,Management & Automation,Not sure how to handle inactive Microsoft Teams? Learn how to auto-archive inactive teams in Microsoft Teams to ensure security while keeping all your conversations and files accessible.,archive inactive teams:10;auto archive teams:9;stale teams:8;teams cleanup:7;teams lifecycle:6;dormant teams:6,Auto Archive Inactive Teams in MS Teams,,,,
Automate Compromised Account Remediation,Security & Identity,Management & Automation,"Automates 8 essential best practices for remediating a compromised Microsoft 365 account, helping you respond quickly and consistently.",compromised account remediation:10;incident response:9;account breach:7;revoke sessions:7;disable account:7;reset password:6;security automation:5,Automate Compromised Account Remediation,,,,
Automate M365 User Offboarding,Entra,Management & Automation,"Try this quick, secure, and comprehensive PowerShell script to automate Microsoft 365 user offboarding.",user offboarding:10;offboard user:9;deprovisioning:8;employee exit:7;leaver:7;terminate user:7;disable user:6;remove licenses:5,Automate M365 User Offboarding,,,,
Automate Outlook Signature - Deploy Once and Forget It,Exchange Online,Management & Automation,"Learn how to automate email signatures to have standard signature within tenant, ensure brand consistency, and more to improve efficiency.",email signature:10;outlook signature:9;signature deployment:8;standard signature:7;branding:6,Automate Outlook Signature - Deploy Once and Forget It,,,,
Automate Version History Cleanup,SharePoint & OneDrive,Management & Automation,Version history eating up your storage? Use this script to clean up old file versions in SharePoint Online and keep your Microsoft 365 environment optimized.,version history cleanup:10;delete old versions:9;file versions:8;storage cleanup:8;reduce SharePoint storage:7;trim versions:6,Automate Version History Cleanup,,,,
Azure AD Devices Report,Security & Identity,Reporting,Get Azure AD devices report using PowerShell now for continuous monitoring of devices in and around your organization and thereby protecting the Office 365.,devices report:10;Azure AD devices:9;Entra devices:9;registered devices:8;joined devices:7;device inventory:7;Intune devices:5,Azure AD Devices Report,,,,
Change Bulk Meeting Ownership,Exchange Online,Management & Automation,"This PowerShell script helps you transfer meetings from one organizer to another. For multiple organizers, you can provide the organizer details in a CSV file. The script creates a CSV file with the transfer status of each meeting.",change meeting organizer:10;transfer meeting ownership:0;transfer bulk meetings:8;meeting organizer transfer:7;bulk transfer meeting ownership:6,Change Bulk Meeting Organizer,,,,
Check Per-user MFA Status using MS Graph,Security & Identity,Reporting,Download this PowerShell script to retrieve per-user MFA status using MS Graph and export the report to CSV file.,per-user MFA:10;MFA status:9;multifactor authentication:7;2FA status:7;Graph MFA report:6,Check Per-user MFA Status using MS Graph,,,,
Configure Email Signature in Outlook,Exchange Online,Management & Automation,Admins can set up an email signature in Outlook using plain text or HTML templates. Unlock the full potential of script to solve more use cases.,email signature:10;configure signature:9;outlook signature:8;signature template:7;HTML signature:6,Configure Email Signature in Outlook,,,,
Configure HTML Email Signature in Outlook,Exchange Online,Management & Automation,"This PowerShell script deploys a standardized HTML email signature for Outlook mailboxes across Microsoft 365. It lets admins roll out consistent, branded signatures organization-wide without configuring each user manually.",HTML signature:10;email signature:9;branded signature:8;deploy signature:8;outlook signature:7,Configure HTML Email Signature in Outlook,,,,
Connect Microsoft Graph PowerShell,Security & Identity,Management & Automation,This script automatically installs and connects to the Microsoft Graph PowerShell SDK module.,connect Graph:10;Microsoft Graph PowerShell:9;MgGraph:8;install Graph module:8;Graph SDK:7;Graph authentication:6,Connect Microsoft Graph PowerShell,,,,
Connect MS Graph with Certificate-Automate Azure app registration,Security & Identity,Management & Automation,This ready-to-run script helps you register Azure app to connect MS Graph PowerShell through certificate. Download it to automate the process easily.,certificate authentication:10;app-only authentication:9;connect Graph certificate:9;certificate-based auth:8;Azure app registration:7;unattended script:7;automation:5,Connect MS Graph with Certificate-Automate Azure app registration,,,,
Connect to All Office 365 Services PowerShell Script,Security & Identity,Management & Automation,"This ""All-in-One"" PowerShell script helps to connect all Microsoft 365 services using PowerShell with MFA/non-MFA account.",connect all services:10;all-in-one connection:8;connect Microsoft 365 PowerShell:8;PowerShell modules:6;MFA connection:6,Connect to All Office 365 Services PowerShell Script,,,,
Connect to Exchange Online PowerShell script,Exchange Online,Management & Automation,We have written a user-friendly PowerShell script to connect Exchange Online PowerShell with MFA/non-MFA account.,connect Exchange Online:10;EXO PowerShell:8;Exchange module:7;MFA connection:6,Connect to Exchange Online PowerShell script,,,,
Convert DL to M365 Groups,Exchange Online,Management & Automation,Are you searching for a way to automate distribution list migrations? Here is the PowerShell script to upgrade the distribution lists to Microsoft 365 groups.,upgrade distribution list:10;convert DL to Microsoft 365 group:9;DL migration:7;unified group:6;modernize groups:5,Convert DL to M365 Groups,,,,
Convert External User into Internal Users in Entra,Entra,Management & Automation,The Microsoft Entra admin center and Graph API don't support external user conversion in bulk. This PowerShell script handles bulk conversion of external to internal users by importing CSV while preserving access and existing permissions.,convert guest to member:10;external to internal users:9;guest conversion:8;user type change:7;bulk convert users:6;B2B users:6,Convert External User into Internal Users in Entra,,,,
Convert User Mailboxes to Shared Mailboxes in Bulk,Exchange Online,Management & Automation,This PowerShell script helps admins to convert user mailboxes to shared mailboxes.,convert to shared mailbox:10;user mailbox to shared:9;mailbox conversion:8;bulk convert mailboxes:7,Convert User Mailboxes to Shared Mailboxes in Bulk,,,,
Copy Membership and Ownership Between DLs,Exchange Online,Management & Automation,Quickly Copy Members from One Distribution List to Another in Microsoft 365-no manual work needed.,copy DL members:10;clone distribution list:9;copy membership:8;copy ownership:7;distribution list:6,Copy Membership and Ownership Between DLs,,,,
Delete Older Emails in Outlook,Exchange Online,Management & Automation,This PowerShell script deletes older emails in Outlook after X number of days using the Search-Mailbox and DeleteContent.,delete old emails:10;mailbox cleanup:8;purge emails:8;delete emails after days:7;Search-Mailbox:5;retention:4,Delete Older Emails in Outlook,,,,
Disable Self-service Purchase in M365,Entra,Management & Automation,This script disables self-service purchase/ trial capability for all the supported M365 products.,self-service purchase:10;disable SSP:9;block purchase:8;self-service trial:6;MSCommerce:6,Disable Self-service Purchase in M365,,,,
Enable Mailbox Auditing for Office 365 Users,Exchange Online,Auditing,Quickly enable mailbox auditing in Office 365 using this PowerShell script or you can enable mailbox auditing for all Office 365 users by default.,enable mailbox auditing:10;mailbox audit logging:8;audit enabled by default:6,Enable Mailbox Auditing for Office 365 Users,,,,
Enable MFA for Admin Users,Security & Identity,Management & Automation,"This PowerShell script identifies Office 365 admins without MFA and enables MFA for them. Also, you can enable MFA considering license status.",enable MFA:10;admin MFA:9;admins without MFA:9;multifactor:6;secure admins:6,Enable MFA for Admin Users,,,,
Export All Mailboxes in EXO,Exchange Online,Reporting,Say goodbye to messy mailbox exports. Our PowerShell script for Microsoft 365 lets you export all mailbox types with clean formatting!,export mailboxes:10;all mailboxes:9;mailbox list:8;mailbox inventory:7;mailbox types:6,Export All Mailboxes in EXO,,,,
Export CA policies,Security & Identity,Reporting,Export Conditional Access policies using PowerShell for efficient CA policy management and enhanced Microsoft 365 security.,conditional access policies:10;export CA policy:9;CA policy report:8;access policies:7,Export CA policies,,,,
Export Distribution Groups,Exchange Online,Reporting,"Export distribution groups report in Microsoft 365 with this PowerShell script to view display name, external sender, authorized members, and more. It helps you identify empty DLs and remove any duplicate distribution lists.",distribution groups report:10;DL report:8;distribution list:8;empty DL:7;duplicate DL:7,Export Distribution Groups,,,,
Export Entra Sign-in Logs,Security & Identity,Auditing,Discover how to export comprehensive sign-in reports for Microsoft 365 users using PowerShell. Enhance security with practical execution examples for streamlined reporting.,sign-in logs:10;export sign-in report:9;login history:8;authentication logs:7;logon logs:6,Export Entra Sign-in Logs,,,,
Export Entra Users,Entra,Reporting,"Export Entra users in Microsoft 365 with PowerShell script to gain insights into user type, license usage, sign-in status, and more for efficient user management.",export users:10;Entra users:9;user list:8;user inventory:7;directory users:6;user type:5,Export Entra Users,,,,
Export Mailbox Hold Details,Exchange Online,Reporting,"This PowerShell script exports O365 mailbox hold report and helps to identify the type of holds (litigation, in-place hold, retention) placed on the mailbox",mailbox hold:10;litigation hold:9;retention hold:8;in-place hold:8;legal hold:7;eDiscovery:5,Export Mailbox Hold Details,,,,
Export Mailbox Usage & Quota Report,Exchange Online,Reporting,Download the PowerShell script to effortlessly generate a comprehensive mailbox quota report and keep your email system running smoothly.,mailbox quota:10;mailbox usage:9;mailbox size:8;quota report:8;storage quota:7,Export Mailbox Usage & Quota Report,,,,
Export MFA Status Report using MS Graph,Security & Identity,Reporting,This script exports Microsoft 365 users and their MFA status using Microsoft Graph PowerShell.,MFA status report:10;MFA status:9;multifactor:7;Graph MFA:6;2FA:6,Export MFA Status Report using MS Graph,,,,
Export Non-audited Mailbox Actions,Exchange Online,Auditing,"Using this PowerShell script, you can identify non-audited mailbox activities and improve the mailbox security by enabling them.",non-audited mailbox actions:10;audit gaps:8;unaudited actions:8;mailbox audit config:7,Export Non-audited Mailbox Actions,,,,
Export Office 365 Groups a User is Member Of,Entra,Reporting,"This PowerShell exports Office 365 groups a user is member of. With this script, you can generate more than 10 user membership report with advanced filters.",groups user is member of:10;user group membership:9;member of:8;membership report:7,Export Office 365 Groups a User is Member Of,,,,
Export OneDrive Urls and Usage Size,SharePoint & OneDrive,Reporting,Download the handy PowerShell script to quickly compile a list of all users' OneDrive URLs in your organization,OneDrive URLs:10;OneDrive usage size:9;OneDrive storage:8;OneDrive report:8,Export OneDrive Urls and Usage Size,,,,
Export Shared channel members report,MS Teams,Reporting,This PowerShell script helps admins to export Microsoft Teams shared channel report and it's membership details to CSV file.,shared channel members:10;shared channel report:9;channel membership:7;B2B direct connect:6,Export Shared channel members report,,,,
Export SharePoint Online External Users report,SharePoint & OneDrive,Reporting,This PowerShell script exports all the external users in SharePoint Online to CSV file. You can also get the external users in the SharePoint sites.,SharePoint external users:10;external users report:9;guest users SharePoint:8;site external users:7,Export SharePoint Online External Users report,,,,
Export SPO File & Folder Storage Consumption Report,SharePoint & OneDrive,Reporting,Learn how to retrieve SharePoint file & folder storage usage report using PowerShell and optimize your storage.,SharePoint storage report:10;file folder storage:9;storage consumption:8;file size report:7;folder size:7;optimize storage:5,Export SPO File & Folder Storage Consumption Report,,,,
External Warning Rule for External Emails,Exchange Online,Reporting,External email warning messages can be configured using mail flow rule. It prepends 'External' to subject of email that originated from outside of the org.,external email warning:10;external sender warning:8;external tag:8;mail flow rule:8;transport rule:7;phishing protection:5;safety tip:4,External Warning Rule for External Emails,,,,
File Version History Report,SharePoint & OneDrive,Reporting,Learn how to export SharePoint Online file version history report using PowerShell and keep track of all version changes.,version history report:10;file versions:9;document versions:8;version changes:7,File Version History Report,,,,
Find and Remove Inactive Users,Entra,Management & Automation,Learn how to find and delete inactive users in Microsoft 365 efficiently to secure your organization & reuse licenses to reduce costs.,inactive users:10;remove inactive users:9;stale accounts:8;delete unused accounts:7;dormant users:7;reclaim licenses:6,Find and Remove Inactive Users,,,,
Find DLs with External Users,Exchange Online,Reporting,Identify distribution lists with external users in Microsoft 365 to prevent sensitive information from being shared with unauthorized users.,DLs with external users:10;distribution list external members:9;guests in DL:8,Find DLs with External Users,,,,
Find Entra ID Configurations with Deprecated MemberOf Operator,Entra,Reporting,This PowerShell script helps you quickly find every configuration in your tenant that uses the deprecated MemberRuleOD operator and makes it easier to identify and update affected resources.,memberOf rule operator:10; dynamic membership rule:9;dynamic membership groups: 8; dynamic administrative units:8;entitlement management:7,Find Entra ID Configurations with Deprecated Memberof Operator,,,,
Find Expired Anyone (Anonymous) links,SharePoint & OneDrive,Reporting,Learn how to retrieve all expired anonymous links in SharePoint Online using PowerShell. Prevent unauthorized access by identifying and revoking links that are no longer valid.,expired anonymous links:10;expired anyone links:10;expired sharing links:9;revoke links:7;invalid links:6,Find Expired Anyone (Anonymous) links,,,,
Find Groups with Disabled Users,Entra,Reporting,"Use this PowerShell script to quickly identify groups with disabled users in Microsoft 365, simplifying tracking of active users.",groups with disabled users:10;disabled users in groups:9;blocked accounts:6;group cleanup:6;stale members:6,Find Groups with Disabled Users,,,,
Find Inactive Distribution Lists,Exchange Online,Reporting,Download this handy PowerShell script to identify inactive distribution lists in the organization using message trace report.,inactive distribution lists:10;unused DL:9;stale DL:8;message trace:5,Find Inactive Distribution Lists,,,,
Find Inactive Teams,MS Teams,Reporting,"Identify and manage inactive Microsoft Teams with PowerShell scripts to clean up unused teams, optimize resources, and prevent team overload.",inactive teams:10;unused teams:9;stale teams:8;teams cleanup:6;dormant teams:6,Find Inactive Teams,,,,
Find Inbox Rules that Forwards Email Externally,Exchange Online,Reporting,This PowerShell script helps to find inbox rules configured with external email forwarding (forwards emails to external users) and export them to CSV file.,external forwarding rules:10;inbox rules forwarding:9;auto forward external:8;forwarding rules report:8;email exfiltration:7,Find Inbox Rules that Forwards Email Externally,,,,
Find Licensed Groups in M365,Entra,Reporting,Execute the PowerShell script to get a comprehensive list of all licensed groups in Microsoft 365 in one go!,licensed groups:10;group-based licensing:9;group license report:8,Find Licensed Groups in M365,,,,
Find M365 Subscriptions Expiry Date,Entra,Reporting,This PowerShell script reports the expiry dates of all Microsoft 365 subscriptions and licenses in the tenant. It helps admins track upcoming renewals and avoid service disruption caused by lapsed subscriptions.,subscription expiry:10;expiring subscriptions:9;subscription renewal:8;license expiration:7,Find M365 Subscriptions Expiry Date,,,,
Find M365 User License Assignment Path,Entra,Reporting,Check Microsoft 365 user license assignment path -whether directly or inherited from a group using PowerShell.,license assignment path:10;direct vs group license:9;inherited license:8;license source:7,Find M365 User License Assignment Path,,,,
Find Non-Compliant Shared Mailboxes,Exchange Online,Reporting,Run the PowerShell script to track unlicensed shared mailboxes allowing direct sign-in access in Microsoft 365.,unlicensed shared mailbox:10;shared mailbox sign-in enabled:9;non-compliant mailboxes:8;shared mailbox compliance:7,Find Non-Compliant Shared Mailboxes,,,,
Find Orphaned Teams,MS Teams,Reporting,This script helps to find Microsoft Teams without an owner and manage them properly by assigning new owner to orphaned teams using PowerShell.,orphaned teams:10;teams without owner:10;ownerless teams:9;assign team owner:7,Find Orphaned Teams,,,,
Find Teams Channels with External Users,MS Teams,Reporting,"Execute this PowerShell script to list all Teams Channels with external members, ensuring secure external collaboration in Microsoft Teams.",channels with external users:10;Teams channel guests:8;external members channel:8,Find Teams Channels with External Users,,,,
Find Teams Meetings Attended By a Specific User,MS Teams,Reporting,Learn how to find out the Teams meetings attended by a specific user effectively using our PowerShell script.,meetings attended by user:10;user meeting attendance:9;Teams meeting participation:8,Find Teams Meetings Attended By a Specific User,,,,
Find Teams with Guests and External Users,MS Teams,Reporting,Execute the PowerShell script to list the teams with guests and external access to secure external access in Microsoft Teams.,teams with guests:10;guest access teams:9;external users teams:8,Find Teams with Guests and External Users,,,,
Find Unused Microsoft 365 Licenses,Entra,Reporting,Quickly identify unused Microsoft 365 licenses and reclaim them for efficient license management.,unused licenses:10;unassigned licenses:9;reclaim licenses:8;available licenses:7;license cost saving:6,Find Unused Microsoft 365 Licenses,,,,
Find who Sent Emails from Shared Mailboxes,Exchange Online,Reporting,This PowerShell script helps admins to find out who sent what email from the shared mailbox in your Office 365 environment.,who sent from shared mailbox:10;shared mailbox sent emails:9;send as audit:7,Find who Sent Emails from Shared Mailboxes,,,,
Get Active and Expired Certificates & Secrets in Entra Apps,Security & Identity,Reporting,"Learn how to export all app registrations along with their client secrets and certificates, including their expiration status, expiry dates, and other details. It helps you track active and expired credentials for Microsoft Entra apps.",app credentials report:10;expired client secrets:9;certificate expiry:8;app registration credentials:8;active expired credentials:7,Get Active and Expired Certificates & Secrets in Entra Apps,,,,
Get Alerts for Break Glass Account Activities,Security & Identity,Auditing,"By scheduling the PowerShell script in Task Scheduler, you can receive real-time alerts for break glass account sign-ins and related activities.",break glass account:10;emergency access account:9;break glass alerts:9;real-time alert:7;sign-in monitoring:6;task scheduler:4,Get Alerts for Break Glass Account Activities,,,,
Get All Anonymously Shared Links,SharePoint & OneDrive,Reporting,"Use this PowerShell script to export all anonymous sharing links along with shared link, file/folder name, access type, link expiry date, and more. It helps you identify any sensitive data exposure and remove unnecessary access links.",anonymous sharing links:10;anyone links:9;shared links report:8;data exposure:6;link expiry:5,Get All Anonymously Shared Links,,,,
Get All Enterprise Apps and their Owners,Security & Identity,Reporting,Run the PowerShell script to quickly retrieve a list of all enterprise apps and their owners- no more manual searches!,enterprise apps:10;app owners:9;service principals:7;app inventory:7;ownerless apps:6,Get All Enterprise Apps and their Owners,,,,
Get All Office 365 Email Addresses,Exchange Online,Reporting,"This script helps to get all Office 365 email addresses, including SMTP address and alias. Also, you can export reports based on the mailbox type.",email addresses:10;SMTP addresses:9;alias:8;proxy addresses:8;address list:6,Get All Office 365 Email Addresses,,,,
Get All Sharing Links in SharePoint Online,SharePoint & OneDrive,Reporting,"This script retrieves all types of sharing links along with link URLs, file or folder names, access types, expiry settings, and more. Use it to identify potential data exposure caused by unwanted sharing links.",sharing links report:10;all sharing links:9;anyone links:7;anonymous links:7;data exposure:6;link expiry:5,Get All Sharing Links in SharePoint Online,,,,
Get All Subsites in SPO,SharePoint & OneDrive,Reporting,Learn how to get all subsites in SharePoint Online using PowerShell and keep track of your site structure for proper organization.,subsites:10;SharePoint subsites:9;site hierarchy:7;site structure:7,Get All Subsites in SPO,,,,
Get Calendar Permission Report,Exchange Online,Reporting,"This PowerShell script helps to get calendar permissions for all the Office 365 mailboxes. Also, it exports 6 different mailbox permission reports to CSV.",calendar permissions:10;calendar sharing:8;calendar delegate:7;mailbox calendar:6,Get Calendar Permission Report,,,,
Get Daily Sign-in Summary Report to Your Email,Security & Identity,Auditing,Automatically send a daily Microsoft 365 user sign-in summary email with a CSV file and an easy one-glance HTML report to quickly detect suspicious sign-ins.,daily sign-in summary:10;scheduled sign-in report:9;email report:7;suspicious sign-ins:6;HTML report:5,Get Daily Sign-in Summary Report to Your Email,,,,
Get DLs a User is Member Of,Exchange Online,Reporting,This PowerShell script lists all Office 365 distribution groups a user is member of. You can also generate reports for all or list of users.,DLs user is member of:10;distribution list membership:9;member of DL:8,Get DLs a User is Member Of,,,,
Get Entra Enterprise App Permission Report,Security & Identity,Reporting,Export all Entra Enterprise applications and their permissions with PowerShell script to prevent misuse of its privileges.,app permissions:10;OAuth permissions:9;API permissions:8;consent report:8;delegated permissions:7;application permissions:7,Get Entra Enterprise App Permission Report,,,,
